권역,유적명,유구,연소부 형식,재임방식,가마크기(m)_길이,가마크기(m)_폭,출토유물_생활용기,출토유물_백제 중앙 토기,출토유물_기타,대옹_출토,"대옹_타날문, 견부압날문, 굽 유무"
A,파주 축현리,1,②,할석,4.9,2.4,"호, 합",,,,
A,파주 축현리,2,?,할석,2.4,1.3,호,,,,
A,파주 축현리,3,③,할석+도침,4.0,2.2,"호, 대호",,도침,●,격자+굽
A,파주 축현리,4,③,할석,3.8,1.9,호,,,●,격자+견부압날+굽
A,파주 축현리,5,②,할석,3.0,2.2,호,,,●,격자문
A,파주 축현리,6,③,무시설식,2.6,1.4,"동이, 호",,,●,격자문
A,파주 축현리,7,?,할석,3.3,2.1,"호, 뚜껑, 완, 접시",,"토판, 토제품",●,격자+굽
A,파주 축현리,8,?,?,?,?,동이,,,,
A,파주 축현리,9,?,할석,2.6,1.6,"호, 대호",,,●,격자+견부압날+굽
A,파주 능산리 2지점,1,③,,3.6,2.2,"호, 옹, 심발형토기, 반, 완",,,,
A,파주 능산리 2지점,2,②,할석,4.3,1.6,호,,,,
A,파주 다율동 9지점-가,1,-,-,?,1.9,호,,,●,?
A,파주 다율동 9지점-가,2,-,-,?,1.2,,,,,
A,파주 다율동 9지점-가,4,-,-,6.1,2.2,호,,,●,?
A,파주 다율동 9지점-가,5,-,-,3.4,1.7,,,,,
A,파주 다율동 9지점-가,6,-,-,4.4,2.0,호,,,●,격자+견부압날
A,파주 다율동 9지점-가,7,-,-,6.1,1.9,호,,,,
A,파주 다율동 9지점-가,9,-,-,6.5,2.1,,,,●,?
A,파주 다율동 9지점-나,17,-,-,-,-,,(직구호?),,●,격자+견부압날
A,파주 다율동 9지점-나,20,-,-,-,-,심발형토기,,,●,?
A,파주 와동리Ⅱ-2,1,?,무시설식,3.0,1.5,,,,●,
A,파주 와동리Ⅱ-2,2,②,무시설식,4.3,1.8,호,,,●,격자+견부압날
A,파주 운정 5지점,1,②,무시설식,7.7,1.9,"호, 동이",,,●,격자+굽
A,파주 운정 5지점,2,①,무시설식,?,?,장란형토기,,,,
A,파주 운정 12지점,1,②,무시설식,3.8,1.5,호,,,●,격자+굽
A,"파주 목동동 라,마구역",라,②,무시설식,5.0,1.9,호,,,●,격자+견부압날
A,"파주 목동동 라,마구역",마,①,무시설식,2.3,1.7,호,,,●,격자+견부압날
A,김포 학운리,1,①,무시설식,3.3,1.9,호,,,●,"완형(평행선문), 편(격자+평행선)"
A,김포 학운리,2,①,무시설식,2.2,1.3,,,,,
A,김포 사우동,1,-,-,-,-,호,,토제품(이상재),●,격자+견부압날
A,김포 사우동,2,-,-,-,-,,,,,
A,김포 사우동,3,-,홈+할석,-,-,호,,,,격자문
A,인천 불로동4,1,①,무시설식,4.3,1.8,"호, 장란형토기, 시루, 반, 심발형토기, 뚜껑",,"암·수키와, 내박자, 토제품",●,"격자+양이부+견부압날, 굽(격자)"
A,인천불로동Ⅰ,1,②,무시설식,1.9,1.8,"호, 대호",,토제품,,
A,인천불로동Ⅲ,1,②,할석+도침,3.9,1.9,평저소호,,쐐기형토제도침,,
A,인천 갈현동C,1,②,할석,2.2,1.6,"호, 완",,,,
A,광명 소하동,1,②,무시설식,3.1,1.3,"동이, 대호",,"합, 흑색마연토기 뚜껑, 보주형꼭지",,굽(격자)
A,시흥 은행·계수동B,1,①,할석,3.8,2.0,"호, 옹, 뚜껑, 동이",,,●,
A,시흥 은행·계수동B,2,②,할석,,,"호, 옹, 시루, 장란형토기, 심발형토기",,,●,굽(격자)
B,화성 운평리,1,①,무시설식,3.2,1.1,"호(경질무문), 평저호(타날)",,,,
B,화성 가재리,1,?,무시설식,,,,,,,
B,화성 가재리,2,?,?,,,,,,,
B,화성 가재리,3,?,?,,,심발형토기,,,●,격자문
B,화성 가재리,4,①,무시설식,2.5,1.2,호,,,●,"편(격자+견부압날), 굽(평행선문)"
B,화성 수영리,1,-,-,-,-,,,,●,격자+견부압날
B,화성 수영리,2,-,-,-,-,,,,●,격자문
B,용인 서천동,1,①,?,,,완,,,,
B,용인 농서리,1,①,무시설식,3.9,1.7,"호, 시루",,방추차,●,"편(격자多,평행선문1), 굽(격자)"
B,용인 농서리,2,①,무시설식,3.9,1.4,호,,,●,"격자多, 평행선문"
B,용인 농서리,3,?,?,,,호,,,●,격자문
B,용인 농서리,4,?,?,,,,,,●,격자문
B,화성 청계리,1,①,홈내기식,4.2,1.3,,,내박자,●,"편(격자, 평행선문), 굽(평행선문)"
B,화성 청계리,2,①,홈+할석,4.3,1.6,호,,,●,"격자多, 평행선문"
B,화성 청계리,3,①,홈+할석,4.0,1.3,"호, 발, 시루",,내박자,●,"격자多, 평행선, 격자+평행선"
B,화성 청계리,4,①,홈+할석,3.5,1.5,,,,●,"편(격자문), 굽(격자문)"
B,화성 청계리,5,①,무시설식,3.8,1.3,,,,●,"편(격자多,평행선), 2개체(평행선)"
B,화성 청계리,6,?,?,,,,,,●,평행선문
B,화성 청계리,7,?,?,,,,,,,
B,화성 요리,1,①,무시설식,4.0,1.6,시루,,암·수키와,,
B,화성 요리,2,?,?,,,,,,,
B,평택 가곡리,1,③,무시설식,2.6,1.4,원저단경호,,,,
B,평택 백봉리,1,①,무시설식,,,단경호,,내박자,,
B,평택 현화리,1,①,무시설식,,,,,,,
B,안성 양변리,1,③,홈+할석,3.1,2.4,"호, 대호, 심발형토기, 뚜껑",,(합),,
B,안성 매산리,1,①,무시설식,1.9,1.5,"호, 시루",,,,
기타,원주 만종리,1,①,,6.6,1.9,시루,,내박자,,
기타,원주 만종리,2,②,,3.0,1.7,,,,,
기타,원주 만종리,3,②,,5.0,1.8,,,,,
기타,원주 만종리,4,②,,(4.8),(1.3),,,,,
